Dhirubhai Ambani Institute of Information and Communication Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lecture Time-Table (Autumn '2024),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,Batch,,Monday,,,,,,,Tuesday,,,,,,,Wednesday,,,,,,,Thursday,,,,,,,Friday,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8:00 - 8:50,,,Slot-5,,,,,,,Slot-8,,,,,,,Slot-6,,,,,,,Slot-7,,,,,,,Slot-3,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,IE403,Human Computer Interaction,3-0-2-4,ICT & Technical Elective & RAS elective,MK,CEP-103,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,IE494,Big Data Processing,3-0-2-4,ICT & Technical Elective ,PMJ,CEP-209,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BTech Sem-V (CS-Only),,,,,,,,,,,,,,,,CS374,Computational and Numerical Methods,3-0-3-4.5,Core,PK2,CEP-205,,,,,,,,,CS374,Computational and Numerical Methods,3-0-3-4.5,Core,PK2,CEP-205
,BTech Sem-V (MnC),,SC404,Advanced Matrix Theory,3-0-0-3,MnC Elective,AM2,CEP-106,,MC312,Modelling and Simulation,3-0-2-4,Core,MT,CEP-202,,MC313,Algebraic Structures,3-1-0-4,Core,GD,CEP-202,,IE403,Human Computer Interaction,3-0-2-4,MnC Elective,MK,CEP-103,,MC313,Algebraic Structures,3-1-0-4,Core,GD,CEP-202
,,,SC471,Algorithmic Graph Theory,3-0-2-4,MnC Elective,VS,CEP-202,,,,,,,,,,,,,,,,IE494,Big Data Processing,3-0-2-4,ICT & Technical Elective ,PMJ,CEP-209,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BTech Sem-VII (ICT + CS),,SC404,Advanced Matrix Theory,3-0-0-3,Science Elective,AM2,CEP-106,,HM484,Modern European Philosophy,3-0-0-3,HASSE,BK,CEP-106,,CT425,RF and Antenna Engineering,3-0-0-3,Technical Elective,DKG,CEP-108,,IE402,Optimization,3-0-2-4,ICT & Technical Elective,NKS,CEP-108,,CT425,RF and Antenna Engineering,3-0-0-3,Technical Elective,DKG,CEP-108
,,,SC471,Algorithmic Graph Theory,3-0-2-4,Science Elective,VS,CEP-202,,HM333,Human Behaviour Management,3-0-0-3,HASSE,NB,CEP-108,,CT509,Next Generation Wireless Communication,3-0-2-4,Technical Elective,YV,CEP-103,,IE411,Operating Systems,3-0-2-4,ICT & Technical Elective,AMM,CEP-106,,CT509,Next Generation Wireless Communication,3-0-2-4,Technical Elective,YV,CEP-103
